outcome_id,study_id,population_id,contrast_id,condition_id,timing_level,modifier,analyte,domain,metric,auc_definition,window_min,timepoint_min,result_form,n,value,dispersion_type,dispersion_value,ci_low,ci_high,p_value,units_original,direction,comparator,data_status,source_provenance,notes
O0227,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_SD,,,late chronotype,glucose,glycemic_variability,24-h SD model contrast,,1440,,model_contrast,23,0.2,95% CI,,-10,11,0.972,percent ratio difference,evening minus morning,,reported_table,Stutz_2024; PDF p7; Table 2,Reported as percent ratio difference.
O0228,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_MAGE,Stutz_2024_late_morning,earlier,late chronotype,glucose,glycemic_variability,24-h MAGE,,1440,,condition_summary,23,2.31,IQR,IQR 1.87–2.77,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0229,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_MAGE,Stutz_2024_late_evening,later,late chronotype,glucose,glycemic_variability,24-h MAGE,,1440,,condition_summary,23,2.23,IQR,IQR 1.77–2.59,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0230,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_MAGE,,,late chronotype,glucose,glycemic_variability,24-h MAGE model contrast,,1440,,model_contrast,23,-0.07,95% CI,,-0.42,0.27,0.661,mmol/L,evening minus morning,,reported_table,Stutz_2024; PDF p7; Table 2,
O0231,Sulaimani_2025,Sulaimani_2025_all,Sulaimani_control,Sulaimani_control_AM,earlier,control,glucose,glucose_auc,glucose iAUC,incremental,180,,condition_summary,14,190,SD,65,,,,mmol/L×min,,,graph_digitized,Sulaimani_2025; PDF p6; Figure 3B,Approximate graph digitization; rounded to graph resolution.
O0232,Sulaimani_2025,Sulaimani_2025_all,Sulaimani_control,Sulaimani_control_AM,earlier,control,glucose,peak_glucose,peak glucose,,,,condition_summary,14,8,SD,0.8,,,,mmol/L,,,graph_digitized,Sulaimani_2025; PDF p6; Figure 3C,Approximate graph digitization.
O0233,Sulaimani_2025,Sulaimani_2025_all,Sulaimani_control,Sulaimani_control_AM,earlier,control,insulin,insulin_auc,insulin iAUC,incremental,180,,condition_summary,14,36500,SD,25500,,,,pmol/L×min,,,graph_digitized,Sulaimani_2025; PDF p7; Figure 4B,Approximate graph digitization.
O0234,Sulaimani_2025,Sulaimani_2025_all,Sulaimani_control,Sulaimani_control_AM,earlier,control,insulin,peak_insulin,peak insulin,,,,condition_summary,14,900,SD,550,,,,pmol/L,,,graph_digitized,Sulaimani_2025; PDF p7; Figure 4C,Approximate graph digitization.
O0235,Sulaimani_2025,Sulaimani_2025_all,Sulaimani_GTE,Sulaimani_GTE_AM,earlier,GTE,glucose,glucose_auc,glucose iAUC,incremental,180,,condition_summary,14,180,SD,80,,,,mmol/L×min,,,graph_digitized,Sulaimani_2025; PDF p6; Figure 3B,Approximate graph digitization; rounded to graph resolution.
O0236,Sulaimani_2025,Sulaimani_2025_all,Sulaimani_GTE,Sulaimani_GTE_AM,earlier,GTE,glucose,peak_glucose,peak glucose,,,,condition_summary,14,7.7,SD,1,,,,mmol/L,,,graph_digitized,Sulaimani_2025; PDF p6; Figure 3C,Approximate graph digitization.
O0237,Sulaimani_2025,Sulaimani_2025_all,Sulaimani_GTE,Sulaimani_GTE_AM,earlier,GTE,insulin,insulin_auc,insulin iAUC,incremental,180,,condition_summary,14,30000,SD,18000,,,,pmol/L×min,,,graph_digitized,Sulaimani_2025; PDF p7; Figure 4B,Approximate graph digitization.
O0238,Sulaimani_2025,Sulaimani_2025_all,Sulaimani_GTE,Sulaimani_GTE_AM,earlier,GTE,insulin,peak_insulin,peak insulin,,,,condition_summary,14,610,SD,400,,,,pmol/L,,,graph_digitized,Sulaimani_2025; PDF p7; Figure 4C,Approximate graph digitization.
O0239,Sulaimani_2025,Sulaimani_2025_all,Sulaimani_control,Sulaimani_control_PM,later,control,glucose,glucose_auc,glucose iAUC,incremental,180,,condition_summary,14,355,SD,145,,,,mmol/L×min,,,graph_digitized,Sulaimani_2025; PDF p6; Figure 3B,Approximate graph digitization; rounded to graph resolution.
O0240,Sulaimani_2025,Sulaimani_2025_all,Sulaimani_control,Sulaimani_control_PM,later,control,glucose,peak_glucose,peak glucose,,,,condition_summary,14,8.5,SD,1.5,,,,mmol/L,,,graph_digitized,Sulaimani_2025; PDF p6; Figure 3C,Approximate graph digitization.
O0241,Sulaimani_2025,Sulaimani_2025_all,Sulaimani_control,Sulaimani_control_PM,later,control,insulin,insulin_auc,insulin iAUC,incremental,180,,condition_summary,14,35500,SD,19000,,,,pmol/L×min,,,graph_digitized,Sulaimani_2025; PDF p7; Figure 4B,Approximate graph digitization.
O0242,Sulaimani_2025,Sulaimani_2025_all,Sulaimani_control,Sulaimani_control_PM,later,control,insulin,peak_insulin,peak insulin,,,,condition_summary,14,500,SD,330,,,,pmol/L,,,graph_digitized,Sulaimani_2025; PDF p7; Figure 4C,Approximate graph digitization.
O0243,Sulaimani_2025,Sulaimani_2025_all,Sulaimani_GTE,Sulaimani_GTE_PM,later,GTE,glucose,glucose_auc,glucose iAUC,incremental,180,,condition_summary,14,380,SD,150,,,,mmol/L×min,,,graph_digitized,Sulaimani_2025; PDF p6; Figure 3B,Approximate graph digitization; rounded to graph resolution.
O0244,Sulaimani_2025,Sulaimani_2025_all,Sulaimani_GTE,Sulaimani_GTE_PM,later,GTE,glucose,peak_glucose,peak glucose,,,,condition_summary,14,8.6,SD,1,,,,mmol/L,,,graph_digitized,Sulaimani_2025; PDF p6; Figure 3C,Approximate graph digitization.
O0245,Sulaimani_2025,Sulaimani_2025_all,Sulaimani_GTE,Sulaimani_GTE_PM,later,GTE,insulin,insulin_auc,insulin iAUC,incremental,180,,condition_summary,14,31000,SD,19000,,,,pmol/L×min,,,graph_digitized,Sulaimani_2025; PDF p7; Figure 4B,Approximate graph digitization.
O0246,Sulaimani_2025,Sulaimani_2025_all,Sulaimani_GTE,Sulaimani_GTE_PM,later,GTE,insulin,peak_insulin,peak insulin,,,,condition_summary,14,430,SD,300,,,,pmol/L,,,graph_digitized,Sulaimani_2025; PDF p7; Figure 4C,Approximate graph digitization.
